film_id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
ts42156,Degrassi: Next Class,SHOW,"Follow a group of high school freshmen, sophomores, juniors, and seniors from Degrassi Community School, a fictional school in Toronto, Ontario, as they encounter some of the typical issues and challenges common to a teenager's life.",2016,TV-PG,24,"['drama', 'romance']",['CA'],6.0,tt5320160,6.8,3285.0,12.075,7.0,Netflix
tm244788,13th,MOVIE,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,2016,unknown,100,"['documentation', 'history', 'crime']",['US'],-1.0,tt5895028,8.2,35302.0,8.675,8.0,Netflix
ts3844,Aquarius,SHOW,"In the late 1960s, a Los Angeles police sergeant with a complicated personal life starts tracking a small-time criminal and budding cult leader seeking out vulnerable women to join his “cause.” The name of that man is Charles Manson.",2015,TV-14,43,"['drama', 'thriller', 'crime', 'european']",['US'],2.0,tt3768572,7.0,12279.0,13.111,6.8,Netflix
ts41913,Frequency,SHOW,"Detective Raimy Sullivan is stunned when a voice suddenly crackles through her father’s old, long-broken ham radio – it’s Frank Sullivan, somehow transmitting over the airwaves and through the decades from 1996. Separated by twenty years, father and daughter have reunited on a frequency only they can hear, but can they rewrite the story of their lives without risking everyone they love?",2016,TV-14,18,"['scifi', 'drama', 'fantasy', 'thriller']",['US'],3.0,tt5531470,7.4,13723.0,12.16,7.3,Netflix
tm139532,Before I Wake,MOVIE,"In this intense and heart pounding supernatural thriller, Jessie (Kate Bosworth) and Mark (Thomas Jane) decide to take in a sweet and loving 8-year-old boy, Cody. Unbeknownst to them, Cody is terrified of falling asleep. At first, they assume his previous unstable homes caused his aversion to sleep, but soon discover why: Cody's dreams manifest in reality as he sleeps. In one moment they experience the incredible wonder of Cody's imagination, and in the next, the horrific nature of his night terrors. To save their new family, Jessie and Mark embark on a dangerous hunt to uncover the truth behind Cody's nightmares.",2016,PG-13,97,"['drama', 'fantasy', 'horror', 'thriller']",['US'],-1.0,tt3174376,6.2,46334.0,99.185,6.4,Netflix
tm253083,Blue Jay,MOVIE,"Meeting by chance when they return to their tiny California hometown, two former high-school sweethearts reflect on their shared past.",2016,unknown,81,"['romance', 'drama']",['US'],-1.0,tt5912454,7.2,17346.0,7.83,7.0,Netflix
ts42119,Greenleaf,SHOW,"The unscrupulous world of the Greenleaf family and their sprawling Memphis megachurch, where scandalous secrets and lies are as numerous as the faithful. Born of the church, the Greenleaf family love and care for each other, but beneath the surface lies a den of iniquity—greed, adultery, sibling rivalry and conflicting values—that threatens to tear apart the very core of their faith that holds them together.",2016,TV-MA,42,['drama'],['US'],5.0,tt4971144,7.3,5227.0,18.424,7.4,Netflix
tm136321,Advantageous,MOVIE,"In a near-future city where soaring opulence overshadows economic hardship, Gwen and her daughter, Jules, do all they can to hold on to their joy, despite the instability surfacing in their world.",2015,unknown,92,"['drama', 'scifi', 'family']",['US'],-1.0,tt3090670,6.2,5378.0,6.297,6.0,Netflix
tm225308,Into the Inferno,MOVIE,"With stunning views of eruptions and lava flows, Werner Herzog captures the raw power of volcanoes and their ties to indigenous spiritual practices.",2016,unknown,107,['documentation'],"['CA', 'DE', 'GB']",-1.0,tt4846318,7.2,8693.0,9.998,7.0,Netflix
ts52830,Gilmore Girls: A Year in the Life,SHOW,"Set nearly a decade after the finale of the original series, this revival follows Lorelai, Rory and Emily Gilmore through four seasons of change.",2016,TV-14,92,"['drama', 'comedy']",['US'],1.0,tt5435008,7.6,37577.0,14.808,7.6,Netflix
tm238722,Collateral Beauty,MOVIE,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",2016,PG-13,97,"['romance', 'drama']",['US'],-1.0,tt4682786,6.7,99712.0,25.409,7.3,Netflix
ts42090,Last Chance U,SHOW,"In a docuseries set at one of NCAA football's most fertile recruiting grounds, guys with red flags seek to prove their worth on the field and in class.",2016,TV-MA,59,"['documentation', 'sport']",['US'],5.0,tt5863126,8.4,6897.0,14.88,7.3,Netflix
