person_id,name
83274,Gino Saltamerenda
83273,Giulio Chiari
83275,Vittorio Antonucci
83278,Michele Sakara
83272,Carlo Jachino
83277,Emma Druetti
37236,Giulio Battiferri
37242,Sergio Leone
20587,Mario Meniconi
106042,Checco Rissone
207607,Peppino Spadaro
73519,Nando Bruno
71117,Eolo Capritti
71784,Memmo Carotenuto
137581,Umberto Spadaro
73110,Fausto Guerzoni
546505,Piero Heliczer
2366447,Massimo Randisi
62021,Vittorio De Sica
173677,Benjamin Christensen
587479,Ella La Cour
572877,Emmy Schønfeld
583493,Kate Fabian
209137,Oscar Stribolt
1248747,Wilhelmine Henriksen
768393,Elisabeth Christensen
568581,Astrid Holm
584896,Karen Winther
540228,Maren Pedersen
2317052,Johannes Andersen
156520,Elith Pio
155531,Aage Hertel
133906,Ib Schønberg
768396,Holst Jørgensen
219080,Clara Pontoppidan
2317258,Else Vermehren
137553,Alice O'Fredericks
138016,Gerda Madsen
212823,Karina Bell
584765,Tora Teje
152192,Poul Reumert
587977,H.C. Nielsen
155177,Albrecht Schmidt
586237,Knud Rassow
156542,Ellen Rassow
587478,Frederik Christensen
156066,Henry Seemann
152503,Karen Caspersen
583855,Holger Pedersen
2317326,John Andersen
26189,Deborah Kerr
61145,David Farrar
37073,Flora Robson
17029,Kathleen Byron
73663,Sabu
25467,Jean Simmons
73664,Jenny Laird
35209,Judith Furse
60932,Esmond Knight
66911,May Hallatt
73665,Eddie Whaley Jr.
73666,Shaun Noble
73667,Nancy Roberts
73668,Ley On
60935,Michael Powell
60936,Emeric Pressburger
25629,John Wayne
25654,Claire Trevor
11109,Andy Devine
32170,John Carradine
71547,Louise Platt
42491,George Bancroft
45535,Donald Meek
71548,Berton Churchill
71550,Chief John Big Tree
22006,Francis Ford
27573,William Hopper
71552,Chris-Pin Martin
71551,Paul McVey
41718,Jack Pennick
71554,Whitehorse
38996,Hank Worden
58276,Dorothy Appleby
22001,Ted Billings
71555,Wiggie Blowne
71556,Ed Brady
71557,Fritzi Brunette
71558,Nora Cecil
28655,Steve Clemente
71559,Bill Cody
71560,Marga Ann Deighton
71561,Patricia Doyle
71562,Tex Driscoll
22477,Franklyn Farnum
57389,Brenda Fowler
57390,Helen Gibson
71564,Cornelius Keefe
71565,Florence Lake
71566,Al Lee
71567,Duke R. Lee
71568,Theodore Lorch
69971,Jim Mason
41712,Louis Mason
62993,Merrill McCormick
71569,J.P. McGowan
41713,Walter McGrail
71570,Jack Mohr
71571,Kent Odell
71572,Artie Ortego
71573,Vester Pegg
71574,Chris Phillips
71575,Joe Rickson
71576,Buddy Roosevelt
71577,Mickey Simpson
71578,Chuck Stubbs
71579,Leonard Trainor
